Product_ASIN,URL,Title,Selling Price,MRP,Discount,Rating,Rating_Count,Category,Subcategory,Platform
B0085IATT6,https://www.amazon.in/dp/B0085IATT6?th=1&psc=1&language=en_IN,"D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)",999.0,1999.0,5.0,4.1,26489.0,Computers & Accessories > Networking Devices > Routers,Routers,Amazon
B00A0VCJPI,https://www.amazon.in/dp/B00A0VCJPI?th=1&psc=1&language=en_IN,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",1299.0,2499.0,48.0,4.1,196239.0,Computers & Accessories > Networking Devices > Wifi Extender,Wifi Extender,Amazon
B00D3GO8R4,https://www.amazon.in/dp/B00D3GO8R4?th=1&psc=1&language=en_IN,"Tenda N301 Wireless-N300 Easy Setup Router (White, Not a Modem) - RJ45 (single_band, 100 megabits_per_second)",999.0,1100.0,9.0,4.2,14068.0,Computers & Accessories > Networking Devices > Routers,Routers,Amazon
B00KXULGJQ,https://www.amazon.in/dp/B00KXULGJQ?th=1&psc=1&language=en_IN,"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)",1799.0,5499.0,67.0,4.1,60946.0,Computers & Accessories > Networking Devices > Wifi Extender,Wifi Extender,Amazon
B00LWRFMLW,https://www.amazon.in/dp/B00LWRFMLW?th=1&psc=1&language=en_IN,Voltas Venture Slimline Tower AC (2 Ton White),82900.0,96990.0,15.0,3.0,2833.0,"Home & Kitchen > Heating, Cooling & Air Quality > Air Conditioners > Split-System Air Conditioners",Air Conditioners,Amazon
B00LWRR1Q6,https://www.amazon.in/dp/B00LWRR1Q6?th=1&psc=1&language=en_IN,Voltas 1 Ph Rot. SAC C2-N Venture I-Cassette AC (2 Ton White),81990.0,98000.0,16.0,3.9,2833.0,"Home & Kitchen > Heating, Cooling & Air Quality > Air Conditioners > Split-System Air Conditioners",Air Conditioners,Amazon
B00N2RO63U,https://www.amazon.in/dp/B00N2RO63U?th=1&psc=1&language=en_IN,"TP-Link 5GHz N300 Long Range Outdoor CPE for PtP and PtMP Transmission | Point to Point Wireless Bridge | 13dBi, 15km+ | Passive PoE Powered w/Free PoE Injector | Pharos Control (CPE510) White",4099.0,6999.0,41.0,3.8,5237.0,Computers & Accessories > Networking Devices > Wireless Access Points,Wifi Extender,Amazon
B013SCBJ10,https://www.amazon.in/dp/B013SCBJ10?th=1&psc=1&language=en_IN,Netgear WiFi Range Extender EX6120-Extend Your Internet Wi-Fi up to 1200 sq ft & 20 Devices with AC1200 Dual Band Wireless Signal Booster & Repeater|Compact Wall Plug Design|Easy Set-Up|with LAN Port,1948.0,4999.0,61.0,3.5,8295.0,Computers & Accessories > Networking Devices > Wifi Extender,Wifi Extender,Amazon
B0151AM5UG,https://www.amazon.in/dp/B0151AM5UG?th=1&psc=1&language=en_IN,"Tenda F3 300Mbps Wi-Fi Router, Easy Setup, WPS Button, Parental Control, Bandwidth Control, Wi-Fi Schedule, with 3 * 5dBi High Power External Antennas (White, N300 F3)",1098.0,1400.0,22.0,4.1,6449.0,Computers & Accessories > Networking Devices > Routers,Routers,Amazon
B01IHIZIXA,https://www.amazon.in/dp/B01IHIZIXA?th=1&psc=1&language=en_IN,"Lenovo Tab 3 Essential Tablet (7 inch, 8GB,Wi-Fi Only), Black",3999.0,6300.0,37.0,3.9,899.0,Computers & Accessories > Tablets,Tablets,Amazon
